;x;y
v1;10.363156;6.3474946
v2;10.146554;5.7548556
v3;10.78153;5.404109
v4;11.013498;4.959346
v5;11.6400795;5.4020104
v6;11.374342;6.8549495
v7;12.220346;6.3393397
v8;9.836082;6.0882792
v9;11.724009;6.469788
v10;12.229693;5.5952353
